id	filename	md5	size	state
1ab797e5-9830-48ba-bf17-633c87e59c1f	nationwidechildrens.org_ssf.TCGA-A2-A0CV.xml	7ddba6cf16236b3c4be9c2cf7d1b70f3	15728	released
9971bf1d-2c00-4abe-897d-7b77c7b3211f	nationwidechildrens.org_ssf.TCGA-C8-A26Y.xml	901523ab538b9e3c5f8f692ccede3a78	15733	released
db31e129-fc69-445c-a312-5d8a80b3a8d2	nationwidechildrens.org_ssf.TCGA-A8-A079.xml	33ed25eae31d2932996386144b5efa28	15650	released
6ebe74f2-e4dd-410f-807a-8354506bc6f2	nationwidechildrens.org_ssf.TCGA-C8-A1HF.xml	92c3d41286908a502c9ecc84656413ae	15628	released
fb29bf59-4f15-4440-a690-7579fd81b5ef	nationwidechildrens.org_ssf.TCGA-A8-A09E.xml	3de2ff674b13917979e5013c32dfff58	15719	released
557037a4-1993-4f8a-b57c-03a22009b426	nationwidechildrens.org_ssf.TCGA-BH-A0HF.xml	965e14b773dd345586f6e36769e814d8	15717	released
cebff6e9-6c44-4959-8360-c983c0919f3e	nationwidechildrens.org_ssf.TCGA-D8-A1Y2.xml	8cf8e4b92296d7130d2f9aa142dbc7ad	15659	released
37fecba9-4339-4b02-a0dd-1c77610f716c	nationwidechildrens.org_ssf.TCGA-A8-A07W.xml	a05f6e4d7e6334dbc8f3550953cdcbd4	15696	released
c458ad1b-271d-475b-b232-8c190b557128	nationwidechildrens.org_ssf.TCGA-AR-A1AO.xml	511f8584022b543b5fb1154c4ef10b5c	15724	released
6a60ea28-c719-4fbb-b366-8c247cf932f8	nationwidechildrens.org_ssf.TCGA-MS-A51U.xml	909dda329336eed6678fff92fffd2f7e	14802	released
7357ba19-4569-4c8f-9f92-64866d6abc60	nationwidechildrens.org_ssf.TCGA-D8-A1JT.xml	7f3298be1d4e8d2c0131f1edd016eaa1	15676	released
4f06527f-74ea-4fac-97e9-f933cbf72be0	nationwidechildrens.org_ssf.TCGA-AN-A0G0.xml	f4479296225ad817e6076dc17235d72f	15532	released
f32759f1-5e5e-43ae-b13c-3f98480fb2b7	nationwidechildrens.org_ssf.TCGA-A2-A1FZ.xml	7977d746e401a8bfe9a1fa54a0c51de1	15725	released
8db07941-f4ab-42cf-8f86-fef390c00adb	nationwidechildrens.org_ssf.TCGA-AR-A2LM.xml	6cd16d745bd6209c0ee3c987ca7ada69	15827	released
b1eb66ac-c15b-4b8e-b6fd-c6a8b4d1e0dc	nationwidechildrens.org_ssf.TCGA-E2-A10A.xml	972c4571bd1ca6b34f23125763316998	15727	released
0a515068-b050-4dde-9221-f0bc16a52a3f	nationwidechildrens.org_ssf.TCGA-S3-AA11.xml	41b6d430dbfbba7d76673d485493c17d	14785	released
cd8e84d6-363e-45c4-8f0a-f79b97586400	nationwidechildrens.org_ssf.TCGA-BH-A0AZ.xml	0fbde0e44616c45b344c3e9685aa901c	15714	released
